season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff,winner
1999,WASHINGTON WIZARDS,ORLANDO MAGIC,4.8,4.9,4.3,1
1999,DENVER NUGGETS,PORTLAND TRAIL BLAZERS,13,13.9,11.4,1
1999,PHOENIX SUNS,SAN ANTONIO SPURS,5.8,6.9,5.3,0
1999,SACRAMENTO KINGS,SEATTLE SUPERSONICS,-0.7,-0.5,-0.4,0
1999,BOSTON CELTICS,VANCOUVER GRIZZLIES,-6.8,-7.2,-4.6,0
1999,NEW YORK KNICKS,CLEVELAND CAVALIERS,-2.7,-3.1,-2.2,1
1999,PHILADELPHIA 76ERS,INDIANA PACERS,1.6,1.9,0.8,1
1999,HOUSTON ROCKETS,NEW JERSEY NETS,-6.1,-6.7,-5.7,0
1999,WASHINGTON WIZARDS,TORONTO RAPTORS,0.6,0.4,1.3,0
1999,DENVER NUGGETS,UTAH JAZZ,13.1,14.7,14.9,1
1999,ORLANDO MAGIC,ATLANTA HAWKS,0.3,0.5,0.6,0
1999,DALLAS MAVERICKS,GOLDEN STATE WARRIORS,-0.1,-0.2,-0.8,1
1999,SAN ANTONIO SPURS,LOS ANGELES LAKERS,-5.1,-5.8,-5.5,1
1999,VANCOUVER GRIZZLIES,MINNESOTA TIMBERWOLVES,9.1,9.8,6.6,1
1999,NEW YORK KNICKS,PHILADELPHIA 76ERS,1.1,1.2,0.3,0
1999,DETROIT PISTONS,PHOENIX SUNS,-1.1,-1.8,1.4,0
1999,BOSTON CELTICS,PORTLAND TRAIL BLAZERS,8.3,8.7,8.3,1
1999,CHARLOTTE HORNETS,SACRAMENTO KINGS,-0.3,-0.4,-1.7,1
1999,MILWAUKEE BUCKS,TORONTO RAPTORS,-3.3,-3.7,-2.3,1
1999,CHICAGO BULLS,WASHINGTON WIZARDS,7.3,8.1,5.6,1
1999,NEW JERSEY NETS,CLEVELAND CAVALIERS,2.1,2.3,2.7,1
1999,DALLAS MAVERICKS,LOS ANGELES CLIPPERS,-6.4,-6.9,-7.2,0
1999,HOUSTON ROCKETS,MIAMI HEAT,2.7,3.3,3.7,1
1999,INDIANA PACERS,MILWAUKEE BUCKS,-2,-2.5,-1.4,0
1999,ATLANTA HAWKS,PHILADELPHIA 76ERS,-0.8,-0.7,-0.7,0
1999,GOLDEN STATE WARRIORS,PORTLAND TRAIL BLAZERS,8.9,9.5,9,1
1999,SEATTLE SUPERSONICS,UTAH JAZZ,7.6,8.3,10.1,1
1999,NEW JERSEY NETS,INDIANA PACERS,7.5,8.5,6,1
1999,SACRAMENTO KINGS,MINNESOTA TIMBERWOLVES,0.8,0.9,-0.1,1
1999,CHICAGO BULLS,NEW YORK KNICKS,10.5,11.6,9.5,1
1999,HOUSTON ROCKETS,ORLANDO MAGIC,0.3,0.1,-0.4,1
1999,DETROIT PISTONS,SAN ANTONIO SPURS,4.7,5.1,6.7,1
1999,LOS ANGELES LAKERS,SEATTLE SUPERSONICS,-4.1,-4.2,-3.7,1
1999,VANCOUVER GRIZZLIES,TORONTO RAPTORS,7.1,7.4,6.2,1
1999,BOSTON CELTICS,WASHINGTON WIZARDS,-0.3,-0.2,0.3,1
1999,CHICAGO BULLS,ATLANTA HAWKS,12.4,13.5,10.5,0
1999,PHILADELPHIA 76ERS,CLEVELAND CAVALIERS,-3.8,-4.3,-2.5,0
1999,LOS ANGELES LAKERS,DENVER NUGGETS,-9.6,-10.6,-8.5,1
1999,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,-7.7,-8.6,-8.9,1
1999,SACRAMENTO KINGS,ORLANDO MAGIC,3,3,2.5,1
1999,DALLAS MAVERICKS,PHOENIX SUNS,4.7,4.9,5.5,1
1999,LOS ANGELES CLIPPERS,UTAH JAZZ,15.3,17,18.9,1
1999,MILWAUKEE BUCKS,CHICAGO BULLS,-11.2,-12.2,-9.2,0
1999,ATLANTA HAWKS,DALLAS MAVERICKS,-5.3,-5.8,-5.1,1
1999,TORONTO RAPTORS,DETROIT PISTONS,5,5.9,2.6,1
1999,SEATTLE SUPERSONICS,HOUSTON ROCKETS,3.4,3.4,3.3,1
1999,GOLDEN STATE WARRIORS,LOS ANGELES CLIPPERS,-6.3,-6.7,-6.4,0
1999,NEW JERSEY NETS,NEW YORK KNICKS,4.8,5.4,4.9,1
1999,LOS ANGELES LAKERS,VANCOUVER GRIZZLIES,-11.7,-12.6,-10,1
1999,MIAMI HEAT,WASHINGTON WIZARDS,-7.2,-8.1,-8.4,0
1999,ORLANDO MAGIC,BOSTON CELTICS,-4.5,-4.7,-4.6,1
1999,MIAMI HEAT,CHARLOTTE HORNETS,-5.1,-5.8,-4.9,0
1999,UTAH JAZZ,DENVER NUGGETS,-13.1,-14.7,-14.9,1
1999,CLEVELAND CAVALIERS,DETROIT PISTONS,5.1,5.9,2.2,1
1999,TORONTO RAPTORS,INDIANA PACERS,5.3,6.2,3.7,1
1999,PORTLAND TRAIL BLAZERS,NEW JERSEY NETS,-10.2,-10.8,-9,0
1999,SACRAMENTO KINGS,PHILADELPHIA 76ERS,2.5,2.8,2.4,1
1999,SEATTLE SUPERSONICS,SAN ANTONIO SPURS,9.2,10,9.2,1
1999,PHILADELPHIA 76ERS,CHICAGO BULLS,-11.6,-12.8,-9.8,0
1999,INDIANA PACERS,CLEVELAND CAVALIERS,-5.4,-6.2,-3.3,0
